N°,Tipo de Imagem de treino,Presença de Artefato,Tamanho da Imagem,Tipo de Redimensionamento,Treinamento,Teste,Máscara,Espaço da Espiral,Modo da Espiral,Intervalo inicial da máscara Treino,Intervalo da máscara Treino,Intervalo inicial da máscara Teste,Intervalo da máscara Teste,Batch Size,N° Steps ,Buffer Size,Número de imagens para calcular métricas,SSIM input(%),SNR input,SSIM predicted(%),SNR predicted,SSIM In SD,SNR In SD,SSIM Pr SD,SNR Pr SD,Observações,Erro,SSIM Real,SSIM Imaginária,SNR Real,SNR Imaginária,RSSIM,Teste,Ordem Teste,RSNR,Relação
1,Imagem Final,Input,256x256,Resize,200,50,HF Vertical,-,-,5,2,5,2,1,1000,400,21,"0,83","10,82","0,79","10,98",,,,,,,,,,,"0,949",0,,"1,015","0,751"
2,Imagem Final,Input,256x256,Resize,400,100,HF Vertical,-,-,5,2,5,2,1,1000,400,21,"0,83","10,22","0,81","10,06",,,,,,,,,,,"0,969",0,,"0,984","0,782"
3,Imagem Final,Input,256x256,Resize,4,3,HF Vertical,-,-,5,2,5,2,1,1000,400,3,"0,80","0,80","0,76","14,46",,,,,,,,,,,"0,941",0,,"17,969","0,713"
4,Imagem Final,Input,256x256,Resize,800,173,HF Vertical,-,-,5,2,5,2,1,1000,400,21,"0,83","5,70","0,74","5,55",,,,,,,,,,,"0,899",0,,"0,973","0,668"
5,Espaço k,Não,256x256,Resize,800,173,HF Vertical,-,-,5,2,5,2,1,1000,400,21,-,-,-,-,,,,,,Imagens produzidas completamente escuras,"0,9491484455","0,9754496177","0,09434963077","-0,01191466504",#VALUE!,0,,#VALUE!,#VALUE!
6,Imagem Final,Não,256x256,Resize,800,173,HF Vertical,-,-,5,2,5,2,1,1000,400,21,"0,79","11,04","0,77","10,32",,,,,,,,,,,"0,967",0,,"0,935","0,743"
7,Imagem Final,Não,256x256,Resize,600,373,HF Vertical,-,-,5,2,5,2,1,1000,400,21,"0,79","11,49","0,79","11,14",,,,,,,,,,,"0,995",0,,"0,970","0,782"
8,Imagem Final,Não,256x256,Resize,600,373,HF Vertical,-,-,5,4,5,4,1,1000,400,21,"0,84","10,86","0,81","10,55",,,,,,,,,,,"0,961",0,,"0,971","0,779"
9,Imagem Final,Não,256x256,Resize,600,373,HF Vertical,-,-,5,4,5,4,1,2000,400,21,"0,86","10,87","0,84","10,64",,,,,Testes comparando o resultado caso o teste seja feito com imagens mais subamostradas que o treino,,,,,,"0,984",0,,"0,978","0,828"
10,Imagem Final,Não,256x256,Resize,600,373,HF Vertical,-,-,5,4,5,2,1,2000,400,21,"0,81","11,72","0,76","10,85",,,,,Maior subamotragem que o teste anterior,,,,,,"0,945",0,,"0,925","0,721"
